|        in        |       outA       |       outB       |       outC       |       outD       |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 |
| 1010000010000010 | 0100000101000010 | 0100000101000010 | 0100000101000010 | 0100000101000010 |
| 0100001001000010 | 0100001001000010 | 0000000000000000 | 0000000000000000 | 0000000000000000 |
| 0100001101000010 | 0100001101000010 | 0000000000000000 | 0000000000000000 | 0000000000000000 |
| 0100001101000100 | 0100001101000100 | 0000000000000000 | 0000000000000000 | 0000000000000000 |
| 0100101001000100 | 0100101001000100 | 0000000000000000 | 0000000000000000 | 0000000000000000 |
| 1001010110010110 | 0100001101000010 | 0100001101000010 | 0000000000000000 | 0000000000000000 |
| 0100101001001111 | 0100101001001111 | 0000000000000000 | 0000000000000000 | 0000000000000000 |
| 0100101101001111 | 0100101101001111 | 0000000000000000 | 0000000000000000 | 0000000000000000 |
| 0100101101001111 | 0100101101001111 | 0000000000000000 | 0000000000000000 | 0000000000000000 |
| 0100101101001001 | 0100101101001001 | 0000000000000000 | 0000000000000000 | 0000000000000000 |
| 1001000100000100 | 0100101001000100 | 0100101001000100 | 0000000000000000 | 0000000000000000 |
| 0101010101001000 | 0101010101001000 | 0000000000000000 | 0000000000000000 | 0000000000000000 |
| 0100101001001000 | 0100101001001000 | 0000000000000000 | 0000000000000000 | 0000000000000000 |
| 1001010011010011 | 0101010101001001 | 0101010101001001 | 0000000000000000 | 0000000000000000 |
| 1001001011001011 | 0100101001001000 | 0100101001001000 | 0000000000000000 | 0000000000000000 |
| 1001000110000110 | 0100111001001000 | 0100111001001000 | 0000000000000000 | 0000000000000000 |
| 0100111001001000 | 0100111001001000 | 0000000000000000 | 0000000000000000 | 0000000000000000 |
